date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2000-01-15,Badakhshan,Faiz Abad,Fayzabad,37.116638,70.580022,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,150000.0,3205.7378
2000-01-15,Balkh,Mazar-e-Sharif,Mazar,36.725116,67.109571,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,100000.0,2137.1586
2000-01-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Bread,KG,actual,Retail,AFN,15.63,0.334
2000-01-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Wheat,KG,actual,Retail,AFN,9.13,0.1951
2000-01-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,10.06,0.215
2000-01-15,Hirat,Hirat,Hirat,34.346944,62.198333,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,60000.0,1282.2951
2000-01-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Bread,KG,actual,Retail,AFN,14.26,0.3048
2000-01-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Wheat,KG,actual,Retail,AFN,13.75,0.2939
2000-01-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,18.57,0.3969
2000-01-15,Kabul,Kabul,Kabul,34.516667,69.183333,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,55000.0,1175.4372
2000-01-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Bread,KG,actual,Retail,AFN,16.25,0.3473
2000-01-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Wheat,KG,actual,Retail,AFN,12.88,0.2753
2000-01-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,18.0,0.3847
2000-01-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,75000.0,1602.8689
2000-01-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Bread,KG,actual,Retail,AFN,14.86,0.3176
2000-01-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Wheat,KG,actual,Retail,AFN,13.16,0.2813
2000-01-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,15.55,0.3323
2000-01-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,58749.5,1255.57
2000-02-15,Badakhshan,Faiz Abad,Fayzabad,37.116638,70.580022,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,150000.0,3157.8947
2000-02-15,Balkh,Mazar-e-Sharif,Mazar,36.725116,67.109571,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,100000.0,2105.2632
2000-02-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Bread,KG,actual,Retail,AFN,15.63,0.3291
2000-02-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Wheat,KG,actual,Retail,AFN,9.13,0.1922
2000-02-15,Hirat,Hirat,Hirat,34.346944,62.198333,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,9.88,0.208
2000-02-15,Hirat,Hirat,Hirat,34.346944,62.198333,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,60000.0,1263.1579
2000-02-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Bread,KG,actual,Retail,AFN,13.49,0.284
2000-02-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Wheat,KG,actual,Retail,AFN,12.32,0.2594
2000-02-15,Kabul,Kabul,Kabul,34.516667,69.183333,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,16.07,0.3383
2000-02-15,Kabul,Kabul,Kabul,34.516667,69.183333,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,70000.0,1473.6842
2000-02-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Bread,KG,actual,Retail,AFN,15.42,0.3246
2000-02-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Wheat,KG,actual,Retail,AFN,12.23,0.2575
2000-02-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,16.38,0.3448
2000-02-15,Kandahar,Kandahar,Kandahar,31.6125,65.709444,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,75000.0,1578.9474
2000-02-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Bread,KG,actual,Retail,AFN,16.66,0.3507
2000-02-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Wheat,KG,actual,Retail,AFN,13.31,0.2802
2000-02-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,cereals and tubers,Wheat flour,KG,actual,Retail,AFN,15.38,0.3238
2000-02-15,Nangarhar,Jalalabad,Jalalabad,34.426111,70.451389,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,59999.5,1263.1474
2000-03-15,Badakhshan,Faiz Abad,Fayzabad,37.116638,70.580022,non-food,Fuel (diesel),L,actual,Retail,AFN,50000.0,1057.9771
2000-03-15,Badakhshan,Faiz Abad,Fayzabad,37.116638,70.580022,non-food,"Wage (non-qualified labour, non-agricultural)",Day,actual,Retail,AFN,116250.0,2459.7969
2000-03-15,Balkh,Mazar-e-Sharif,Mazar,36.725116,67.109571,non-food,Fuel (diesel),L,actual,Retail,AFN,34250.0,724.7143
